,noQ,3,3.5,4,4.5,5,5.5,6
75,3.465685649,4.38953999,4.38953999,3.832270561,3.832270561,3.83227056,3.610503663,3.743110134
mean,2.301829208,2.717003299,2.643130527,2.509697058,2.47504921,2.448194762,2.392357501,2.396579418
