,,,,,,,,,,,,0,0,0,0,0,0,0
,,,,,,,,,,,,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,10,20,30,40,50,60,70,80,90,100,110,120,130,haveQnoL,,,,
error75,3.971342363,3.399509174,2.926359993,2.780141289,2.780141289,2.780141282,2.673721967,2.634457365,2.534267759,2.534267759,2.534267759,2.534267759,2.534267759,2.534267759,,,,
mean,2.788850734,2.25029418,1.976535186,1.931455835,1.890528617,1.859501988,1.857200188,1.86719799,1.858372332,1.860033407,1.850709698,1.850709698,1.85540817,1.859913847,,,,
